cluster,move_type,round,percentage
tactical,checks_pct,300,9.39
tactical,checks_pct,310,8.24
tactical,checks_pct,320,8.67
tactical,checks_pct,330,8.59
tactical,checks_pct,340,8.49
tactical,checks_pct,350,8.59
positional,checks_pct,10,7.0
positional,checks_pct,20,6.4
positional,checks_pct,30,5.71
positional,checks_pct,40,7.41
positional,checks_pct,50,6.61
positional,checks_pct,60,7.59
positional,checks_pct,70,9.29
positional,checks_pct,80,8.85
positional,checks_pct,90,8.54
positional,checks_pct,100,8.13
positional,checks_pct,110,9.34
positional,checks_pct,120,10.63
positional,checks_pct,130,8.23
positional,checks_pct,140,8.9
positional,checks_pct,150,9.45
positional,checks_pct,160,8.31
positional,checks_pct,170,8.63
positional,checks_pct,180,9.45
positional,checks_pct,190,9.12
positional,checks_pct,200,7.43
positional,checks_pct,210,7.31
positional,checks_pct,220,8.13
positional,checks_pct,230,9.07
positional,checks_pct,240,8.66
positional,checks_pct,250,7.77
positional,checks_pct,260,7.65
positional,checks_pct,270,9.73
positional,checks_pct,280,8.9
positional,checks_pct,290,9.15
positional,checks_pct,300,8.47
positional,checks_pct,310,10.12
positional,checks_pct,320,10.5
positional,checks_pct,330,8.66
positional,checks_pct,340,8.92
positional,checks_pct,350,8.66
tactical,quiet_moves_pct,10,71.75
tactical,quiet_moves_pct,20,72.67
tactical,quiet_moves_pct,30,74.36
tactical,quiet_moves_pct,40,73.35
tactical,quiet_moves_pct,50,74.43
tactical,quiet_moves_pct,60,74.09
tactical,quiet_moves_pct,70,74.97
tactical,quiet_moves_pct,80,72.29
tactical,quiet_moves_pct,90,75.16
tactical,quiet_moves_pct,100,74.47
tactical,quiet_moves_pct,110,72.63
tactical,quiet_moves_pct,120,73.82
tactical,quiet_moves_pct,130,74.85
tactical,quiet_moves_pct,140,73.87
tactical,quiet_moves_pct,150,75.96
tactical,quiet_moves_pct,160,74.0
tactical,quiet_moves_pct,170,74.09
tactical,quiet_moves_pct,180,74.85
tactical,quiet_moves_pct,190,73.11
tactical,quiet_moves_pct,200,73.82
tactical,quiet_moves_pct,210,73.97
tactical,quiet_moves_pct,220,73.18
tactical,quiet_moves_pct,230,73.78
tactical,quiet_moves_pct,240,73.22
tactical,quiet_moves_pct,250,73.78
tactical,quiet_moves_pct,260,72.99
tactical,quiet_moves_pct,270,74.37
tactical,quiet_moves_pct,280,74.03
tactical,quiet_moves_pct,290,73.31
tactical,quiet_moves_pct,300,73.21
tactical,quiet_moves_pct,310,73.75
tactical,quiet_moves_pct,320,74.83
tactical,quiet_moves_pct,330,73.56
tactical,quiet_moves_pct,340,74.17
tactical,quiet_moves_pct,350,74.66
positional,quiet_moves_pct,10,73.06
positional,quiet_moves_pct,20,73.94
positional,quiet_moves_pct,30,74.07
positional,quiet_moves_pct,40,72.05
positional,quiet_moves_pct,50,74.39
positional,quiet_moves_pct,60,73.93
positional,quiet_moves_pct,70,74.35
positional,quiet_moves_pct,80,71.8
positional,quiet_moves_pct,90,71.95
positional,quiet_moves_pct,100,73.78
positional,quiet_moves_pct,110,74.69
positional,quiet_moves_pct,120,72.54
positional,quiet_moves_pct,130,74.23
positional,quiet_moves_pct,140,74.87
positional,quiet_moves_pct,150,72.94
positional,quiet_moves_pct,160,74.39
positional,quiet_moves_pct,170,73.32
positional,quiet_moves_pct,180,74.29
positional,quiet_moves_pct,190,73.49
positional,quiet_moves_pct,200,73.99
positional,quiet_moves_pct,210,74.85
positional,quiet_moves_pct,220,73.86
positional,quiet_moves_pct,230,73.3
positional,quiet_moves_pct,240,74.45
positional,quiet_moves_pct,250,74.51
positional,quiet_moves_pct,260,73.66
positional,quiet_moves_pct,270,72.54
positional,quiet_moves_pct,280,73.54
positional,quiet_moves_pct,290,74.82
positional,quiet_moves_pct,300,74.66
positional,quiet_moves_pct,310,73.01
positional,quiet_moves_pct,320,73.45
positional,quiet_moves_pct,330,75.82
positional,quiet_moves_pct,340,74.06
positional,quiet_moves_pct,350,75.31
