cluster,move_type,round,percentage
tactical,checks_pct,300,8.88
tactical,checks_pct,310,8.34
tactical,checks_pct,320,10.15
tactical,checks_pct,330,9.48
tactical,checks_pct,340,9.06
tactical,checks_pct,350,8.46
positional,checks_pct,10,7.21
positional,checks_pct,20,6.77
positional,checks_pct,30,7.39
positional,checks_pct,40,6.79
positional,checks_pct,50,8.43
positional,checks_pct,60,6.97
positional,checks_pct,70,7.57
positional,checks_pct,80,8.3
positional,checks_pct,90,8.56
positional,checks_pct,100,8.68
positional,checks_pct,110,8.65
positional,checks_pct,120,9.34
positional,checks_pct,130,7.61
positional,checks_pct,140,7.68
positional,checks_pct,150,7.52
positional,checks_pct,160,8.76
positional,checks_pct,170,9.47
positional,checks_pct,180,8.0
positional,checks_pct,190,9.15
positional,checks_pct,200,9.54
positional,checks_pct,210,8.97
positional,checks_pct,220,8.68
positional,checks_pct,230,9.7
positional,checks_pct,240,9.55
positional,checks_pct,250,9.89
positional,checks_pct,260,8.68
positional,checks_pct,270,8.62
positional,checks_pct,280,9.55
positional,checks_pct,290,8.76
positional,checks_pct,300,9.02
positional,checks_pct,310,10.4
positional,checks_pct,320,8.85
positional,checks_pct,330,9.0
positional,checks_pct,340,9.73
positional,checks_pct,350,7.71
tactical,quiet_moves_pct,10,72.25
tactical,quiet_moves_pct,20,71.86
tactical,quiet_moves_pct,30,74.13
tactical,quiet_moves_pct,40,74.17
tactical,quiet_moves_pct,50,73.07
tactical,quiet_moves_pct,60,73.77
tactical,quiet_moves_pct,70,74.11
tactical,quiet_moves_pct,80,73.38
tactical,quiet_moves_pct,90,73.12
tactical,quiet_moves_pct,100,73.95
tactical,quiet_moves_pct,110,74.49
tactical,quiet_moves_pct,120,73.25
tactical,quiet_moves_pct,130,74.79
tactical,quiet_moves_pct,140,74.56
tactical,quiet_moves_pct,150,72.03
tactical,quiet_moves_pct,160,74.55
tactical,quiet_moves_pct,170,73.95
tactical,quiet_moves_pct,180,74.35
tactical,quiet_moves_pct,190,74.46
tactical,quiet_moves_pct,200,73.94
tactical,quiet_moves_pct,210,71.85
tactical,quiet_moves_pct,220,74.04
tactical,quiet_moves_pct,230,72.11
tactical,quiet_moves_pct,240,75.0
tactical,quiet_moves_pct,250,73.13
tactical,quiet_moves_pct,260,73.87
tactical,quiet_moves_pct,270,74.46
tactical,quiet_moves_pct,280,71.6
tactical,quiet_moves_pct,290,74.01
tactical,quiet_moves_pct,300,72.15
tactical,quiet_moves_pct,310,75.63
tactical,quiet_moves_pct,320,72.91
tactical,quiet_moves_pct,330,73.43
tactical,quiet_moves_pct,340,73.57
tactical,quiet_moves_pct,350,74.69
positional,quiet_moves_pct,10,73.97
positional,quiet_moves_pct,20,73.97
positional,quiet_moves_pct,30,72.88
positional,quiet_moves_pct,40,74.9
positional,quiet_moves_pct,50,74.1
positional,quiet_moves_pct,60,74.87
positional,quiet_moves_pct,70,74.67
positional,quiet_moves_pct,80,74.98
positional,quiet_moves_pct,90,74.96
positional,quiet_moves_pct,100,74.81
positional,quiet_moves_pct,110,74.37
positional,quiet_moves_pct,120,73.07
positional,quiet_moves_pct,130,75.6
positional,quiet_moves_pct,140,75.8
positional,quiet_moves_pct,150,75.9
positional,quiet_moves_pct,160,74.05
positional,quiet_moves_pct,170,73.32
positional,quiet_moves_pct,180,73.93
positional,quiet_moves_pct,190,72.89
positional,quiet_moves_pct,200,73.71
positional,quiet_moves_pct,210,73.38
positional,quiet_moves_pct,220,73.88
positional,quiet_moves_pct,230,73.3
positional,quiet_moves_pct,240,73.69
positional,quiet_moves_pct,250,72.89
positional,quiet_moves_pct,260,73.94
positional,quiet_moves_pct,270,74.59
positional,quiet_moves_pct,280,72.91
positional,quiet_moves_pct,290,72.96
positional,quiet_moves_pct,300,73.79
positional,quiet_moves_pct,310,71.96
positional,quiet_moves_pct,320,73.59
positional,quiet_moves_pct,330,73.94
positional,quiet_moves_pct,340,74.26
positional,quiet_moves_pct,350,74.85
