experiment,round,avg_elo
P4_share_backbone,210,950.0
P4_share_backbone,220,987.5
P4_share_backbone,230,937.5
P4_share_backbone,240,1000.0
P4_share_backbone,250,1037.5
P4_share_backbone,260,1012.5
P4_share_backbone,270,1012.5
P4_share_backbone,280,1012.5
P4_share_backbone,290,1000.0
P4_share_backbone,300,1012.5
P4_share_backbone,310,975.0
P4_share_backbone,320,987.5
P4_share_backbone,330,987.5
P4_share_backbone,340,1025.0
P4_share_backbone,350,937.5
