experiment,round,value_head_divergence
P4_share_backbone,130,0.734996
P4_share_backbone,140,1.143696
P4_share_backbone,150,0.74368
P4_share_backbone,160,1.180375
P4_share_backbone,170,0.749881
P4_share_backbone,180,0.757034
P4_share_backbone,190,1.194491
P4_share_backbone,200,1.218311
P4_share_backbone,210,1.193385
P4_share_backbone,220,1.2235
P4_share_backbone,230,0.769283
P4_share_backbone,240,1.229512
P4_share_backbone,250,1.203334
P4_share_backbone,260,1.19648
P4_share_backbone,270,1.182448
P4_share_backbone,280,1.253505
P4_share_backbone,290,1.235081
P4_share_backbone,300,1.254135
P4_share_backbone,310,1.238143
P4_share_backbone,320,0.772545
P4_share_backbone,330,1.189334
P4_share_backbone,340,0.771437
P4_share_backbone,350,0.770918
