experiment,round,difference
B1_full_sharing,10,0.21000000000000085
B1_full_sharing,20,1.8000000000000007
B1_full_sharing,30,0.9600000000000009
B1_full_sharing,40,1.8000000000000007
B1_full_sharing,50,0.09999999999999787
B1_full_sharing,60,1.0100000000000016
B1_full_sharing,70,0.5500000000000007
B1_full_sharing,90,0.2900000000000027
B1_full_sharing,100,0.39000000000000057
B1_full_sharing,110,1.389999999999997
B1_full_sharing,120,3.2600000000000016
B1_full_sharing,130,1.4800000000000004
B1_full_sharing,140,3.210000000000001
B1_full_sharing,150,1.0599999999999987
B1_full_sharing,160,2.41
B1_full_sharing,170,0.5899999999999999
B1_full_sharing,180,0.7600000000000016
B1_full_sharing,190,0.639999999999997
B1_full_sharing,200,1.6199999999999974
B1_full_sharing,210,2.799999999999997
B1_full_sharing,220,0.4400000000000013
B1_full_sharing,230,2.879999999999999
B1_full_sharing,240,0.7300000000000004
B1_full_sharing,250,2.1899999999999977
B1_full_sharing,260,1.3100000000000023
B1_full_sharing,270,1.7399999999999984
B1_full_sharing,280,1.3200000000000003
B1_full_sharing,290,1.9599999999999973
B1_full_sharing,300,2.0599999999999987
B1_full_sharing,310,1.9600000000000009
B1_full_sharing,320,1.5300000000000011
B1_full_sharing,330,0.8900000000000006
B1_full_sharing,340,1.129999999999999
B1_full_sharing,350,0.22999999999999687
B2_no_sharing,10,0.19999999999999574
B2_no_sharing,20,2.2799999999999976
B2_no_sharing,30,2.210000000000001
B2_no_sharing,40,0.2799999999999976
B2_no_sharing,50,0.08999999999999986
B2_no_sharing,60,1.2399999999999984
B2_no_sharing,70,0.46000000000000085
B2_no_sharing,80,3.039999999999999
B2_no_sharing,90,0.9599999999999973
B2_no_sharing,100,1.120000000000001
B2_no_sharing,110,1.1000000000000014
B2_no_sharing,120,1.5599999999999987
B2_no_sharing,130,1.8999999999999986
B2_no_sharing,140,2.8500000000000014
B2_no_sharing,150,4.510000000000002
B2_no_sharing,160,0.629999999999999
B2_no_sharing,170,0.020000000000003126
B2_no_sharing,180,0.0799999999999983
B2_no_sharing,190,1.6799999999999997
B2_no_sharing,200,1.7199999999999989
B2_no_sharing,210,0.25
B2_no_sharing,220,1.0799999999999983
B2_no_sharing,230,1.4400000000000013
B2_no_sharing,240,2.1799999999999997
B2_no_sharing,250,0.0799999999999983
B2_no_sharing,260,0.129999999999999
B2_no_sharing,270,0.2900000000000027
