cluster,opponent,round,win_rate
positional,Stockfish-1400,170,15.0
positional,Stockfish-1000,180,40.0
positional,Stockfish-1200,180,20.0
positional,Stockfish-1400,180,20.0
positional,Stockfish-1000,190,30.0
positional,Stockfish-1200,190,30.0
positional,Stockfish-1400,190,0.0
positional,Stockfish-1000,200,35.0
positional,Stockfish-1200,200,25.0
positional,Stockfish-1400,200,20.0
positional,Stockfish-1000,210,25.0
positional,Stockfish-1200,210,25.0
positional,Stockfish-1400,210,20.0
positional,Stockfish-1000,220,30.0
positional,Stockfish-1200,220,15.0
positional,Stockfish-1400,220,15.0
positional,Stockfish-1000,230,35.0
positional,Stockfish-1200,230,40.0
positional,Stockfish-1400,230,75.0
positional,Stockfish-1000,240,30.0
positional,Stockfish-1200,240,30.0
positional,Stockfish-1400,240,25.0
positional,Stockfish-1000,250,20.0
positional,Stockfish-1200,250,25.0
positional,Stockfish-1400,250,30.0
positional,Stockfish-1000,260,35.0
positional,Stockfish-1200,260,20.0
positional,Stockfish-1400,260,20.0
positional,Stockfish-1000,270,30.0
positional,Stockfish-1200,270,35.0
positional,Stockfish-1400,270,25.0
positional,Stockfish-1000,280,25.0
positional,Stockfish-1200,280,35.0
positional,Stockfish-1400,280,15.0
positional,Stockfish-1000,290,45.0
positional,Stockfish-1200,290,30.0
positional,Stockfish-1400,290,30.0
positional,Stockfish-1000,300,30.0
positional,Stockfish-1200,300,55.0
positional,Stockfish-1400,300,10.0
positional,Stockfish-1000,310,35.0
positional,Stockfish-1200,310,15.0
positional,Stockfish-1400,310,15.0
positional,Stockfish-1000,320,45.0
positional,Stockfish-1200,320,20.0
positional,Stockfish-1400,320,25.0
positional,Stockfish-1000,330,35.0
positional,Stockfish-1200,330,40.0
positional,Stockfish-1400,330,0.0
positional,Stockfish-1000,340,45.0
positional,Stockfish-1200,340,10.0
positional,Stockfish-1400,340,20.0
positional,Stockfish-1000,350,40.0
positional,Stockfish-1200,350,30.0
positional,Stockfish-1400,350,20.0
