cluster,move_type,round,percentage
tactical,checks_pct,300,8.46
tactical,checks_pct,310,8.99
tactical,checks_pct,320,8.35
tactical,checks_pct,330,8.66
tactical,checks_pct,340,7.68
tactical,checks_pct,350,9.96
positional,checks_pct,10,6.61
positional,checks_pct,20,7.09
positional,checks_pct,30,6.75
positional,checks_pct,40,7.22
positional,checks_pct,50,7.1
positional,checks_pct,60,7.77
positional,checks_pct,70,8.81
positional,checks_pct,80,8.13
positional,checks_pct,90,8.07
positional,checks_pct,100,8.4
positional,checks_pct,110,7.94
positional,checks_pct,120,7.52
positional,checks_pct,130,10.86
positional,checks_pct,140,9.38
positional,checks_pct,150,10.4
positional,checks_pct,160,9.5
positional,checks_pct,170,9.78
positional,checks_pct,180,7.92
positional,checks_pct,190,8.75
positional,checks_pct,200,9.47
positional,checks_pct,210,8.68
positional,checks_pct,220,9.46
positional,checks_pct,230,8.36
positional,checks_pct,240,9.78
positional,checks_pct,250,10.27
positional,checks_pct,260,9.41
positional,checks_pct,270,9.8
positional,checks_pct,280,7.39
positional,checks_pct,290,9.29
positional,checks_pct,300,8.32
positional,checks_pct,310,9.64
positional,checks_pct,320,9.28
positional,checks_pct,330,8.48
positional,checks_pct,340,8.67
positional,checks_pct,350,9.23
tactical,quiet_moves_pct,10,71.31
tactical,quiet_moves_pct,20,72.56
tactical,quiet_moves_pct,30,72.67
tactical,quiet_moves_pct,40,73.59
tactical,quiet_moves_pct,50,73.9
tactical,quiet_moves_pct,60,75.2
tactical,quiet_moves_pct,70,73.37
tactical,quiet_moves_pct,80,73.58
tactical,quiet_moves_pct,90,74.32
tactical,quiet_moves_pct,100,75.2
tactical,quiet_moves_pct,110,73.72
tactical,quiet_moves_pct,120,73.99
tactical,quiet_moves_pct,130,72.46
tactical,quiet_moves_pct,140,75.22
tactical,quiet_moves_pct,150,76.24
tactical,quiet_moves_pct,160,73.42
tactical,quiet_moves_pct,170,74.01
tactical,quiet_moves_pct,180,74.15
tactical,quiet_moves_pct,190,75.71
tactical,quiet_moves_pct,200,73.49
tactical,quiet_moves_pct,210,74.2
tactical,quiet_moves_pct,220,73.98
tactical,quiet_moves_pct,230,73.34
tactical,quiet_moves_pct,240,74.36
tactical,quiet_moves_pct,250,73.82
tactical,quiet_moves_pct,260,73.71
tactical,quiet_moves_pct,270,73.29
tactical,quiet_moves_pct,280,71.57
tactical,quiet_moves_pct,290,72.85
tactical,quiet_moves_pct,300,74.69
tactical,quiet_moves_pct,310,74.39
tactical,quiet_moves_pct,320,72.02
tactical,quiet_moves_pct,330,73.2
tactical,quiet_moves_pct,340,75.68
tactical,quiet_moves_pct,350,73.7
positional,quiet_moves_pct,10,70.79
positional,quiet_moves_pct,20,74.37
positional,quiet_moves_pct,30,74.35
positional,quiet_moves_pct,40,74.05
positional,quiet_moves_pct,50,73.56
positional,quiet_moves_pct,60,74.48
