cluster,round,sparsity
tactical,10,0.0018
tactical,20,0.001
tactical,30,0.0006000000000000001
tactical,40,0.0005
tactical,50,0.00039999999999999996
tactical,60,0.00039999999999999996
tactical,70,0.00039999999999999996
tactical,80,0.00039999999999999996
tactical,90,0.00030000000000000003
tactical,100,0.00030000000000000003
tactical,110,0.00030000000000000003
tactical,120,0.00030000000000000003
tactical,130,0.00030000000000000003
tactical,140,0.00030000000000000003
tactical,150,0.00019999999999999998
tactical,160,0.00030000000000000003
tactical,170,0.00030000000000000003
tactical,180,0.00030000000000000003
tactical,190,0.00030000000000000003
tactical,200,0.00030000000000000003
tactical,210,0.00030000000000000003
tactical,220,0.00030000000000000003
tactical,230,0.00030000000000000003
tactical,240,0.00019999999999999998
tactical,250,0.00030000000000000003
tactical,260,0.00030000000000000003
tactical,270,0.00019999999999999998
tactical,280,0.00030000000000000003
tactical,290,0.00030000000000000003
tactical,300,0.00019999999999999998
tactical,310,0.00030000000000000003
tactical,320,0.00019999999999999998
tactical,330,0.00019999999999999998
tactical,340,0.00030000000000000003
tactical,350,0.00019999999999999998
positional,10,0.0017
positional,20,0.0007999999999999999
positional,30,0.0006000000000000001
positional,40,0.0005
positional,50,0.00030000000000000003
positional,60,0.00030000000000000003
positional,70,0.00039999999999999996
positional,80,0.00030000000000000003
positional,90,0.00030000000000000003
positional,100,0.00039999999999999996
positional,110,0.00030000000000000003
positional,120,0.00030000000000000003
positional,130,0.00030000000000000003
positional,140,0.00030000000000000003
positional,150,0.00019999999999999998
positional,160,0.00030000000000000003
positional,170,0.00030000000000000003
positional,180,0.00030000000000000003
positional,190,0.00030000000000000003
positional,200,0.00019999999999999998
positional,210,0.00019999999999999998
positional,220,0.00030000000000000003
positional,230,0.00030000000000000003
positional,240,0.00030000000000000003
positional,250,0.00030000000000000003
positional,260,0.00030000000000000003
positional,270,0.00030000000000000003
positional,280,0.00030000000000000003
positional,290,0.00030000000000000003
positional,300,0.00019999999999999998
positional,310,0.00019999999999999998
positional,320,0.00030000000000000003
positional,330,0.00019999999999999998
positional,340,0.00030000000000000003
positional,350,0.00030000000000000003
