experiment,cluster,round,elo
P3_share_late,positional,50,800
P3_share_late,positional,60,800
P3_share_late,positional,70,800
P3_share_late,positional,80,800
P3_share_late,positional,90,800
P3_share_late,positional,100,800
P3_share_late,positional,110,800
P3_share_late,positional,120,800
P3_share_late,positional,130,875
P3_share_late,positional,140,900
P3_share_late,positional,150,925
P3_share_late,positional,160,975
P3_share_late,positional,170,925
P3_share_late,positional,180,925
P3_share_late,positional,190,950
P3_share_late,positional,200,1025
P3_share_late,positional,210,950
P3_share_late,positional,220,950
P3_share_late,positional,230,1025
P3_share_late,positional,240,975
P3_share_late,positional,250,1125
P3_share_late,positional,260,950
P3_share_late,positional,270,1125
P3_share_late,positional,280,900
P3_share_late,positional,290,1075
P3_share_late,positional,300,1075
P3_share_late,positional,310,900
P3_share_late,positional,320,1000
P3_share_late,positional,330,950
P3_share_late,positional,340,1025
P3_share_late,positional,350,1050
P4_share_backbone,tactical,10,800
P4_share_backbone,tactical,20,800
P4_share_backbone,tactical,30,800
P4_share_backbone,tactical,40,800
P4_share_backbone,tactical,50,800
P4_share_backbone,tactical,60,800
P4_share_backbone,tactical,70,800
P4_share_backbone,tactical,80,800
P4_share_backbone,tactical,90,800
P4_share_backbone,tactical,100,825
P4_share_backbone,tactical,110,800
P4_share_backbone,tactical,120,850
P4_share_backbone,tactical,130,875
P4_share_backbone,tactical,140,800
P4_share_backbone,tactical,150,875
P4_share_backbone,tactical,160,900
P4_share_backbone,tactical,170,800
P4_share_backbone,tactical,180,875
P4_share_backbone,tactical,190,975
P4_share_backbone,tactical,200,925
P4_share_backbone,tactical,210,925
P4_share_backbone,tactical,220,1025
P4_share_backbone,tactical,230,875
P4_share_backbone,tactical,240,950
P4_share_backbone,tactical,250,1000
P4_share_backbone,tactical,260,1050
P4_share_backbone,tactical,270,1100
P4_share_backbone,tactical,280,1100
P4_share_backbone,tactical,290,1000
P4_share_backbone,tactical,300,1025
P4_share_backbone,tactical,310,975
P4_share_backbone,tactical,320,1050
P4_share_backbone,tactical,330,925
P4_share_backbone,tactical,340,1025
P4_share_backbone,tactical,350,925
P4_share_backbone,positional,10,800
P4_share_backbone,positional,20,800
P4_share_backbone,positional,30,800
P4_share_backbone,positional,40,800
P4_share_backbone,positional,50,800
P4_share_backbone,positional,60,800
P4_share_backbone,positional,70,800
P4_share_backbone,positional,80,800
P4_share_backbone,positional,90,800
P4_share_backbone,positional,100,950
P4_share_backbone,positional,110,875
P4_share_backbone,positional,120,925
P4_share_backbone,positional,130,975
P4_share_backbone,positional,140,950
P4_share_backbone,positional,150,850
P4_share_backbone,positional,160,800
P4_share_backbone,positional,170,900
P4_share_backbone,positional,180,825
P4_share_backbone,positional,190,925
P4_share_backbone,positional,200,975
P4_share_backbone,positional,210,975
P4_share_backbone,positional,220,950
P4_share_backbone,positional,230,1000
P4_share_backbone,positional,240,1050
P4_share_backbone,positional,250,1075
P4_share_backbone,positional,260,975
P4_share_backbone,positional,270,925
P4_share_backbone,positional,280,925
P4_share_backbone,positional,290,1000
P4_share_backbone,positional,300,1000
P4_share_backbone,positional,310,975
P4_share_backbone,positional,320,925
P4_share_backbone,positional,330,1050
P4_share_backbone,positional,340,1025
P4_share_backbone,positional,350,950
