experiment,layer_group,round,divergence
P1_share_early,input_block,210,-1e-06
P1_share_early,input_block,220,-1e-06
P1_share_early,input_block,230,-1e-06
P1_share_early,input_block,240,-1e-06
P1_share_early,input_block,250,-1e-06
P1_share_early,input_block,260,-1e-06
P1_share_early,input_block,270,-1e-06
P1_share_early,input_block,280,-1e-06
P1_share_early,input_block,290,-1e-06
P1_share_early,input_block,300,-1e-06
P1_share_early,input_block,310,-1e-06
P1_share_early,input_block,320,-1e-06
P1_share_early,input_block,330,-1e-06
P1_share_early,input_block,340,-1e-06
P1_share_early,input_block,350,-1e-06
P1_share_early,early_residual,10,0.619888
P1_share_early,early_residual,20,0.625109
P1_share_early,early_residual,30,0.6296
P1_share_early,early_residual,40,0.631896
P1_share_early,early_residual,50,0.63463
P1_share_early,early_residual,60,0.635274
P1_share_early,early_residual,70,0.641447
P1_share_early,early_residual,80,0.648216
P1_share_early,early_residual,90,0.653931
P1_share_early,early_residual,100,0.659598
P1_share_early,early_residual,110,0.663277
P1_share_early,early_residual,120,0.668677
P1_share_early,early_residual,130,0.675506
P1_share_early,early_residual,140,0.678794
P1_share_early,early_residual,150,0.683422
P1_share_early,early_residual,160,0.688112
P1_share_early,early_residual,170,0.691956
P1_share_early,early_residual,180,0.6962
P1_share_early,early_residual,190,0.700655
P1_share_early,early_residual,200,0.702187
P1_share_early,early_residual,210,0.706302
P1_share_early,early_residual,220,0.709391
P1_share_early,early_residual,230,0.71
P1_share_early,early_residual,240,0.714806
P1_share_early,early_residual,250,0.715637
P1_share_early,early_residual,260,0.720691
P1_share_early,early_residual,270,0.720043
P1_share_early,early_residual,280,0.721799
P1_share_early,early_residual,290,0.723347
P1_share_early,early_residual,300,0.725384
P1_share_early,early_residual,310,0.726867
P1_share_early,early_residual,320,0.728339
P1_share_early,early_residual,330,0.728915
P1_share_early,early_residual,340,0.730025
P1_share_early,early_residual,350,0.729045
P1_share_early,middle_residual,10,0.714013
P1_share_early,middle_residual,20,0.733748
P1_share_early,middle_residual,30,0.743987
P1_share_early,middle_residual,40,0.733294
P1_share_early,middle_residual,50,0.731527
P1_share_early,middle_residual,60,0.73313
P1_share_early,middle_residual,70,0.751814
P1_share_early,middle_residual,80,0.771321
P1_share_early,middle_residual,90,0.786376
P1_share_early,middle_residual,100,0.802112
P1_share_early,middle_residual,110,0.815237
P1_share_early,middle_residual,120,0.824113
P1_share_early,middle_residual,130,0.83334
P1_share_early,middle_residual,140,0.849367
P1_share_early,middle_residual,150,0.857942
P1_share_early,middle_residual,160,0.865905
P1_share_early,middle_residual,170,0.872992
P1_share_early,middle_residual,180,0.87506
P1_share_early,middle_residual,190,0.883023
P1_share_early,middle_residual,200,0.892948
P1_share_early,middle_residual,210,0.898544
P1_share_early,middle_residual,220,0.901282
P1_share_early,middle_residual,230,0.90308
P1_share_early,middle_residual,240,0.904001
P1_share_early,middle_residual,250,0.908263
P1_share_early,middle_residual,260,0.91628
P1_share_early,middle_residual,270,0.916715
P1_share_early,middle_residual,280,0.912075
P1_share_early,middle_residual,290,0.913645
P1_share_early,middle_residual,300,0.91552
P1_share_early,middle_residual,310,0.91502
P1_share_early,middle_residual,320,0.915923
P1_share_early,middle_residual,330,0.91572
P1_share_early,middle_residual,340,0.915967
P1_share_early,middle_residual,350,0.91392
P1_share_early,policy_head,10,0.289642
P1_share_early,policy_head,20,0.282949
P1_share_early,policy_head,30,0.279115
P1_share_early,policy_head,40,0.276636
P1_share_early,policy_head,50,0.272975
P1_share_early,policy_head,60,0.269301
P1_share_early,policy_head,70,0.265608
P1_share_early,policy_head,80,0.262225
P1_share_early,policy_head,90,0.257948
P1_share_early,policy_head,100,0.253645
P1_share_early,policy_head,110,0.250531
P1_share_early,policy_head,120,0.246764
P1_share_early,policy_head,130,0.243351
P1_share_early,policy_head,140,0.239308
P1_share_early,policy_head,150,0.236331
P1_share_early,policy_head,160,0.234534
P1_share_early,policy_head,170,0.231887
P1_share_early,policy_head,180,0.229043
P1_share_early,policy_head,190,0.227108
P1_share_early,policy_head,200,0.225156
P1_share_early,policy_head,210,0.22322
P1_share_early,policy_head,220,0.221724
P1_share_early,policy_head,230,0.219702
P1_share_early,policy_head,240,0.218731
P1_share_early,policy_head,250,0.217518
P1_share_early,policy_head,260,0.21691
P1_share_early,policy_head,270,0.216546
P1_share_early,policy_head,280,0.215589
P1_share_early,policy_head,290,0.215258
P1_share_early,policy_head,300,0.214799
P1_share_early,policy_head,310,0.214155
P1_share_early,policy_head,320,0.214123
P1_share_early,policy_head,330,0.213942
P1_share_early,policy_head,340,0.213823
P1_share_early,policy_head,350,0.213827
P1_share_early,value_head,10,0.609067
P1_share_early,value_head,20,0.619195
P1_share_early,value_head,30,1.104505
P1_share_early,value_head,40,1.111358
P1_share_early,value_head,50,1.036901
P1_share_early,value_head,60,0.632856
P1_share_early,value_head,70,0.638725
P1_share_early,value_head,80,1.043747
P1_share_early,value_head,90,0.646671
P1_share_early,value_head,100,1.088822
P1_share_early,value_head,110,1.13953
P1_share_early,value_head,120,1.07532
P1_share_early,value_head,130,1.137612
P1_share_early,value_head,140,1.155742
P1_share_early,value_head,150,1.12952
P1_share_early,value_head,160,1.159826
P1_share_early,value_head,170,1.162973
P1_share_early,value_head,180,0.695836
P1_share_early,value_head,190,0.701905
P1_share_early,value_head,200,1.162546
P1_share_early,value_head,210,0.708628
P1_share_early,value_head,220,0.716393
P1_share_early,value_head,230,1.175159
P1_share_early,value_head,240,0.715657
P1_share_early,value_head,250,0.719754
P1_share_early,value_head,260,0.715361
P1_share_early,value_head,270,0.715115
P1_share_early,value_head,280,0.721013
P1_share_early,value_head,290,1.174321
P1_share_early,value_head,300,1.189819
P1_share_early,value_head,310,1.173911
P1_share_early,value_head,320,1.178085
P1_share_early,value_head,330,1.191911
P1_share_early,value_head,340,1.192672
P1_share_early,value_head,350,1.182483
P2_share_middle,input_block,10,0.864089
P2_share_middle,input_block,20,0.784793
P2_share_middle,input_block,30,0.788785
P2_share_middle,input_block,40,0.812934
P2_share_middle,input_block,50,0.826096
P2_share_middle,input_block,60,0.852908
P2_share_middle,input_block,70,0.869515
P2_share_middle,input_block,80,0.888532
P2_share_middle,input_block,90,0.895923
P2_share_middle,input_block,100,0.918622
P2_share_middle,input_block,110,0.918748
P2_share_middle,input_block,120,0.936703
P2_share_middle,input_block,130,0.938619
P2_share_middle,input_block,140,0.939123
P2_share_middle,input_block,150,0.946814
P2_share_middle,input_block,160,0.946967
P2_share_middle,input_block,170,0.948755
P2_share_middle,input_block,180,0.951689
P2_share_middle,input_block,190,0.954276
P2_share_middle,input_block,200,0.948642
P2_share_middle,input_block,210,0.955185
P2_share_middle,input_block,220,0.955493
P2_share_middle,input_block,230,0.952133
P2_share_middle,input_block,240,0.957007
P2_share_middle,input_block,250,0.955133
P2_share_middle,input_block,260,0.958167
P2_share_middle,input_block,270,0.957177
P2_share_middle,input_block,280,0.958083
P2_share_middle,input_block,290,0.958225
P2_share_middle,input_block,300,0.958072
P2_share_middle,input_block,310,0.954746
P2_share_middle,input_block,320,0.956822
P2_share_middle,input_block,330,0.955331
P2_share_middle,input_block,340,0.952927
P2_share_middle,input_block,350,0.955858
P2_share_middle,early_residual,10,0.628335
P2_share_middle,early_residual,20,0.637114
P2_share_middle,early_residual,30,0.646331
P2_share_middle,early_residual,40,0.646933
P2_share_middle,early_residual,50,0.64617
P2_share_middle,early_residual,60,0.648262
P2_share_middle,early_residual,70,0.654253
P2_share_middle,early_residual,80,0.657142
P2_share_middle,early_residual,90,0.66272
P2_share_middle,early_residual,100,0.666519
P2_share_middle,early_residual,110,0.669448
P2_share_middle,early_residual,120,0.675574
P2_share_middle,early_residual,130,0.678989
P2_share_middle,early_residual,140,0.683252
P2_share_middle,early_residual,150,0.687753
P2_share_middle,early_residual,160,0.689322
P2_share_middle,early_residual,170,0.692902
P2_share_middle,early_residual,180,0.695102
P2_share_middle,early_residual,190,0.697522
P2_share_middle,early_residual,200,0.701846
P2_share_middle,early_residual,210,0.705513
P2_share_middle,early_residual,220,0.704845
P2_share_middle,early_residual,230,0.710006
P2_share_middle,early_residual,240,0.711925
P2_share_middle,early_residual,250,0.71293
P2_share_middle,early_residual,260,0.71414
P2_share_middle,early_residual,270,0.714353
P2_share_middle,early_residual,280,0.715951
P2_share_middle,early_residual,290,0.716822
P2_share_middle,early_residual,300,0.718365
P2_share_middle,early_residual,310,0.719606
P2_share_middle,early_residual,320,0.719932
P2_share_middle,early_residual,330,0.720392
P2_share_middle,early_residual,340,0.721473
P2_share_middle,early_residual,350,0.721345
P2_share_middle,middle_residual,10,0.672997
P2_share_middle,middle_residual,20,0.681492
P2_share_middle,middle_residual,30,0.677221
P2_share_middle,middle_residual,40,0.667688
P2_share_middle,middle_residual,50,0.666962
P2_share_middle,middle_residual,60,0.672204
P2_share_middle,middle_residual,70,0.686379
P2_share_middle,middle_residual,80,0.688215
P2_share_middle,middle_residual,90,0.694219
P2_share_middle,middle_residual,100,0.706729
P2_share_middle,middle_residual,110,0.716634
P2_share_middle,middle_residual,120,0.722725
P2_share_middle,middle_residual,130,0.736888
P2_share_middle,middle_residual,140,0.747187
P2_share_middle,middle_residual,150,0.757444
P2_share_middle,middle_residual,160,0.761275
P2_share_middle,middle_residual,170,0.765104
P2_share_middle,middle_residual,180,0.770195
P2_share_middle,middle_residual,190,0.774801
P2_share_middle,middle_residual,200,0.782048
P2_share_middle,middle_residual,210,0.791869
P2_share_middle,middle_residual,220,0.791411
P2_share_middle,middle_residual,230,0.795769
P2_share_middle,middle_residual,240,0.799765
P2_share_middle,middle_residual,250,0.798267
P2_share_middle,middle_residual,260,0.798241
P2_share_middle,middle_residual,270,0.797634
P2_share_middle,middle_residual,280,0.798032
P2_share_middle,middle_residual,290,0.797241
P2_share_middle,middle_residual,300,0.797442
P2_share_middle,middle_residual,310,0.798009
P2_share_middle,middle_residual,320,0.799939
P2_share_middle,middle_residual,330,0.799821
P2_share_middle,middle_residual,340,0.803456
P2_share_middle,middle_residual,350,0.8033
P2_share_middle,policy_head,10,0.316545
P2_share_middle,policy_head,20,0.310986
P2_share_middle,policy_head,30,0.304019
P2_share_middle,policy_head,40,0.296879
P2_share_middle,policy_head,50,0.289516
P2_share_middle,policy_head,60,0.283779
P2_share_middle,policy_head,70,0.27743
P2_share_middle,policy_head,80,0.271867
P2_share_middle,policy_head,90,0.26741
P2_share_middle,policy_head,100,0.26244
P2_share_middle,policy_head,110,0.25823
P2_share_middle,policy_head,120,0.254494
P2_share_middle,policy_head,130,0.251104
P2_share_middle,policy_head,140,0.248203
P2_share_middle,policy_head,150,0.245343
P2_share_middle,policy_head,160,0.242577
P2_share_middle,policy_head,170,0.239852
P2_share_middle,policy_head,180,0.237384
P2_share_middle,policy_head,190,0.236295
P2_share_middle,policy_head,200,0.233989
P2_share_middle,policy_head,210,0.233094
P2_share_middle,policy_head,220,0.231497
P2_share_middle,policy_head,230,0.230336
P2_share_middle,policy_head,240,0.229156
P2_share_middle,policy_head,250,0.228146
P2_share_middle,policy_head,260,0.227019
P2_share_middle,policy_head,270,0.226264
P2_share_middle,policy_head,280,0.226044
P2_share_middle,policy_head,290,0.225796
P2_share_middle,policy_head,300,0.225544
P2_share_middle,policy_head,310,0.225314
P2_share_middle,policy_head,320,0.225039
P2_share_middle,policy_head,330,0.224657
P2_share_middle,policy_head,340,0.224985
P2_share_middle,policy_head,350,0.224726
P2_share_middle,value_head,10,1.116132
P2_share_middle,value_head,20,1.490887
P2_share_middle,value_head,30,1.062533
P2_share_middle,value_head,40,1.065902
P2_share_middle,value_head,50,0.675944
P2_share_middle,value_head,60,0.686013
P2_share_middle,value_head,70,0.693799
P2_share_middle,value_head,80,0.703948
P2_share_middle,value_head,90,0.711612
P2_share_middle,value_head,100,0.713811
P2_share_middle,value_head,110,0.724894
P2_share_middle,value_head,120,1.139028
P2_share_middle,value_head,130,0.726137
P2_share_middle,value_head,140,0.732923
P2_share_middle,value_head,150,0.739645
P2_share_middle,value_head,160,0.74184
P2_share_middle,value_head,170,0.742838
P2_share_middle,value_head,180,0.747454
P2_share_middle,value_head,190,0.750882
P2_share_middle,value_head,200,0.752866
P2_share_middle,value_head,210,0.757486
P2_share_middle,value_head,220,1.17038
P2_share_middle,value_head,230,0.765545
P2_share_middle,value_head,240,0.765272
P2_share_middle,value_head,250,1.164885
P2_share_middle,value_head,260,0.765176
P2_share_middle,value_head,270,1.172619
P2_share_middle,value_head,280,1.585685
P2_share_middle,value_head,290,1.589529
P2_share_middle,value_head,300,1.200754
P2_share_middle,value_head,310,1.202597
