cluster,move_type,round,percentage
tactical,checks_pct,300,7.71
tactical,checks_pct,310,9.0
tactical,checks_pct,320,8.18
tactical,checks_pct,330,10.46
tactical,checks_pct,340,8.73
tactical,checks_pct,350,10.67
positional,checks_pct,10,8.62
positional,checks_pct,20,8.45
positional,checks_pct,30,7.39
positional,checks_pct,40,7.37
positional,checks_pct,50,8.67
positional,checks_pct,60,8.45
positional,checks_pct,70,8.02
positional,checks_pct,80,7.99
positional,checks_pct,90,7.51
positional,checks_pct,100,7.43
positional,checks_pct,110,8.83
positional,checks_pct,120,9.11
positional,checks_pct,130,8.74
positional,checks_pct,140,7.55
positional,checks_pct,150,8.45
positional,checks_pct,160,9.11
positional,checks_pct,170,8.49
positional,checks_pct,180,8.2
positional,checks_pct,190,9.47
positional,checks_pct,200,8.78
positional,checks_pct,210,8.96
positional,checks_pct,220,9.25
positional,checks_pct,230,11.47
positional,checks_pct,240,8.28
positional,checks_pct,250,7.86
positional,checks_pct,260,8.03
positional,checks_pct,270,8.74
positional,checks_pct,280,8.3
positional,checks_pct,290,8.77
positional,checks_pct,300,9.82
positional,checks_pct,310,10.45
positional,checks_pct,320,10.09
positional,checks_pct,330,8.72
positional,checks_pct,340,8.69
positional,checks_pct,350,9.71
tactical,quiet_moves_pct,10,71.42
tactical,quiet_moves_pct,20,73.59
tactical,quiet_moves_pct,30,74.17
tactical,quiet_moves_pct,40,73.51
tactical,quiet_moves_pct,50,73.07
tactical,quiet_moves_pct,60,72.16
tactical,quiet_moves_pct,70,74.15
tactical,quiet_moves_pct,80,75.09
tactical,quiet_moves_pct,90,72.63
tactical,quiet_moves_pct,100,72.9
tactical,quiet_moves_pct,110,73.47
tactical,quiet_moves_pct,120,71.99
tactical,quiet_moves_pct,130,74.64
tactical,quiet_moves_pct,140,73.25
tactical,quiet_moves_pct,150,74.37
tactical,quiet_moves_pct,160,73.88
tactical,quiet_moves_pct,170,73.82
tactical,quiet_moves_pct,180,71.77
tactical,quiet_moves_pct,190,73.3
tactical,quiet_moves_pct,200,75.06
tactical,quiet_moves_pct,210,72.65
tactical,quiet_moves_pct,220,73.74
tactical,quiet_moves_pct,230,75.15
tactical,quiet_moves_pct,240,73.39
tactical,quiet_moves_pct,250,75.27
tactical,quiet_moves_pct,260,75.24
tactical,quiet_moves_pct,270,72.4
tactical,quiet_moves_pct,280,72.22
tactical,quiet_moves_pct,290,74.35
tactical,quiet_moves_pct,300,75.51
tactical,quiet_moves_pct,310,74.0
tactical,quiet_moves_pct,320,74.83
tactical,quiet_moves_pct,330,72.06
tactical,quiet_moves_pct,340,73.72
tactical,quiet_moves_pct,350,72.92
positional,quiet_moves_pct,10,72.17
positional,quiet_moves_pct,20,73.26
positional,quiet_moves_pct,30,73.72
positional,quiet_moves_pct,40,73.9
positional,quiet_moves_pct,50,74.02
positional,quiet_moves_pct,60,74.6
positional,quiet_moves_pct,70,73.72
positional,quiet_moves_pct,80,73.72
positional,quiet_moves_pct,90,74.54
positional,quiet_moves_pct,100,73.56
positional,quiet_moves_pct,110,73.77
positional,quiet_moves_pct,120,73.92
positional,quiet_moves_pct,130,72.59
positional,quiet_moves_pct,140,74.71
positional,quiet_moves_pct,150,73.28
positional,quiet_moves_pct,160,73.34
positional,quiet_moves_pct,170,73.55
positional,quiet_moves_pct,180,74.12
positional,quiet_moves_pct,190,72.57
positional,quiet_moves_pct,200,74.16
positional,quiet_moves_pct,210,71.39
positional,quiet_moves_pct,220,72.84
positional,quiet_moves_pct,230,71.91
positional,quiet_moves_pct,240,73.85
positional,quiet_moves_pct,250,74.6
positional,quiet_moves_pct,260,74.31
positional,quiet_moves_pct,270,74.72
positional,quiet_moves_pct,280,75.66
positional,quiet_moves_pct,290,74.25
positional,quiet_moves_pct,300,73.06
positional,quiet_moves_pct,310,71.74
positional,quiet_moves_pct,320,73.69
positional,quiet_moves_pct,330,75.24
positional,quiet_moves_pct,340,74.01
positional,quiet_moves_pct,350,74.27
