experiment,round,global_divergence
P4_share_backbone,120,0.649548
P4_share_backbone,130,0.656552
P4_share_backbone,140,0.677985
P4_share_backbone,150,0.66647
P4_share_backbone,160,0.688918
P4_share_backbone,170,0.676221
P4_share_backbone,180,0.683088
P4_share_backbone,190,0.703135
P4_share_backbone,200,0.707972
P4_share_backbone,210,0.708663
P4_share_backbone,220,0.712119
P4_share_backbone,230,0.697507
P4_share_backbone,240,0.717562
P4_share_backbone,250,0.718324
P4_share_backbone,260,0.720685
P4_share_backbone,270,0.720582
P4_share_backbone,280,0.725079
P4_share_backbone,290,0.72543
P4_share_backbone,300,0.727107
P4_share_backbone,310,0.726414
P4_share_backbone,320,0.70753
P4_share_backbone,330,0.725354
P4_share_backbone,340,0.708489
P4_share_backbone,350,0.70879
