experiment,round,avg_center_control
P4_share_backbone,100,5.59
P4_share_backbone,110,5.210000000000001
P4_share_backbone,120,5.51
P4_share_backbone,130,5.76
P4_share_backbone,140,5.57
P4_share_backbone,150,5.345000000000001
P4_share_backbone,160,5.38
P4_share_backbone,170,5.45
P4_share_backbone,180,5.305
P4_share_backbone,190,5.67
P4_share_backbone,200,5.68
P4_share_backbone,210,5.145
P4_share_backbone,220,5.26
P4_share_backbone,230,4.91
P4_share_backbone,240,5.66
P4_share_backbone,250,5.715
P4_share_backbone,260,5.285
P4_share_backbone,270,5.495
P4_share_backbone,280,5.33
P4_share_backbone,290,5.27
P4_share_backbone,300,5.3
P4_share_backbone,310,5.08
P4_share_backbone,320,5.484999999999999
P4_share_backbone,330,5.58
P4_share_backbone,340,5.585
P4_share_backbone,350,5.385
