experiment,round,avg_move_diversity
P4_share_backbone,50,0.649
P4_share_backbone,60,0.665
P4_share_backbone,70,0.6675
P4_share_backbone,80,0.6185
P4_share_backbone,90,0.633
P4_share_backbone,100,0.651
P4_share_backbone,110,0.6265000000000001
P4_share_backbone,120,0.6114999999999999
P4_share_backbone,130,0.6025
P4_share_backbone,140,0.6165
P4_share_backbone,150,0.623
P4_share_backbone,160,0.6305000000000001
P4_share_backbone,170,0.6114999999999999
P4_share_backbone,180,0.618
P4_share_backbone,190,0.619
P4_share_backbone,200,0.602
P4_share_backbone,210,0.642
P4_share_backbone,220,0.61
P4_share_backbone,230,0.6365000000000001
P4_share_backbone,240,0.6214999999999999
P4_share_backbone,250,0.6305000000000001
P4_share_backbone,260,0.6255
P4_share_backbone,270,0.6225
P4_share_backbone,280,0.611
P4_share_backbone,290,0.6105
P4_share_backbone,300,0.6205
P4_share_backbone,310,0.5845
P4_share_backbone,320,0.6025
P4_share_backbone,330,0.606
P4_share_backbone,340,0.624
P4_share_backbone,350,0.6074999999999999
