experiment,round,avg_attacked_material,avg_captures
P3_share_late,20,57.55,11.6
P3_share_late,30,55.215,14.05
P3_share_late,40,60.614999999999995,13.92
P3_share_late,50,68.1,13.719999999999999
P3_share_late,60,61.085,13.8
P3_share_late,70,65.985,13.515
P3_share_late,80,60.865,13.83
P3_share_late,90,65.12,14.0
P3_share_late,100,68.815,15.33
P3_share_late,110,71.47,14.315
P3_share_late,120,66.05000000000001,13.9
P3_share_late,130,71.92,14.0
P3_share_late,140,69.5,14.399999999999999
P3_share_late,150,70.935,14.07
P3_share_late,160,69.785,14.535
P3_share_late,170,69.58500000000001,13.42
P3_share_late,180,70.48,14.934999999999999
P3_share_late,190,66.38499999999999,14.95
P3_share_late,200,77.465,14.48
P3_share_late,210,72.05,15.2
P3_share_late,220,65.86500000000001,14.535
P3_share_late,230,67.43,16.285
P3_share_late,240,75.765,14.835
P3_share_late,250,79.4,17.415
P3_share_late,260,73.0,15.27
P3_share_late,270,72.91499999999999,14.95
P3_share_late,280,68.41499999999999,16.535
P3_share_late,290,74.185,16.065
P3_share_late,300,71.9,14.335
P3_share_late,310,66.57,14.85
P3_share_late,320,68.45,14.75
P3_share_late,330,70.33500000000001,14.684999999999999
P3_share_late,340,71.785,15.865
P3_share_late,350,68.61500000000001,14.3
P4_share_backbone,10,54.9,12.05
P4_share_backbone,20,55.335,12.98
P4_share_backbone,30,62.5,14.085
P4_share_backbone,40,57.614999999999995,13.815
P4_share_backbone,50,60.935,13.030000000000001
P4_share_backbone,60,58.765,13.3
P4_share_backbone,70,64.915,13.0
P4_share_backbone,80,71.82,13.085
P4_share_backbone,90,67.65,15.235
P4_share_backbone,100,65.235,13.965
P4_share_backbone,110,65.22,15.0
P4_share_backbone,120,67.435,14.315
P4_share_backbone,130,72.0,14.2
P4_share_backbone,140,65.72,14.165
P4_share_backbone,150,72.05000000000001,14.35
P4_share_backbone,160,72.365,13.515
P4_share_backbone,170,66.965,14.385
P4_share_backbone,180,75.65,13.83
P4_share_backbone,190,66.14999999999999,14.17
P4_share_backbone,200,66.415,13.98
P4_share_backbone,210,73.28,14.335
P4_share_backbone,220,66.365,15.634999999999998
P4_share_backbone,230,72.8,17.25
P4_share_backbone,240,68.12,15.030000000000001
P4_share_backbone,250,70.1,16.0
P4_share_backbone,260,64.685,15.415
P4_share_backbone,270,73.765,14.615
P4_share_backbone,280,65.83000000000001,14.5
P4_share_backbone,290,69.55,16.0
P4_share_backbone,300,69.41499999999999,13.465
P4_share_backbone,310,68.565,15.27
P4_share_backbone,320,72.065,15.185
P4_share_backbone,330,74.2,15.415
P4_share_backbone,340,80.23,14.4
P4_share_backbone,350,71.05000000000001,14.780000000000001
