experiment,round,avg_win_rate
P4_share_backbone,130,15.0
P4_share_backbone,140,13.35
P4_share_backbone,150,16.7
P4_share_backbone,160,21.65
P4_share_backbone,170,16.65
P4_share_backbone,180,13.3
P4_share_backbone,190,16.65
P4_share_backbone,200,11.65
P4_share_backbone,210,21.700000000000003
P4_share_backbone,220,20.0
P4_share_backbone,230,20.0
P4_share_backbone,240,28.300000000000004
P4_share_backbone,250,26.65
P4_share_backbone,260,25.0
P4_share_backbone,270,23.35
P4_share_backbone,280,23.300000000000004
P4_share_backbone,290,21.700000000000003
P4_share_backbone,300,28.35
P4_share_backbone,310,11.7
P4_share_backbone,320,18.35
P4_share_backbone,330,28.35
P4_share_backbone,340,21.700000000000003
P4_share_backbone,350,21.700000000000003
