experiment,round,policy_head_divergence
P4_share_backbone,70,0.25803
P4_share_backbone,80,0.253108
P4_share_backbone,90,0.24936
P4_share_backbone,100,0.245838
P4_share_backbone,110,0.241279
P4_share_backbone,120,0.23824
P4_share_backbone,130,0.234821
P4_share_backbone,140,0.231459
P4_share_backbone,150,0.229438
P4_share_backbone,160,0.226812
P4_share_backbone,170,0.224417
P4_share_backbone,180,0.223272
P4_share_backbone,190,0.221318
P4_share_backbone,200,0.219785
P4_share_backbone,210,0.218133
P4_share_backbone,220,0.217234
P4_share_backbone,230,0.215743
P4_share_backbone,240,0.214852
P4_share_backbone,250,0.214341
P4_share_backbone,260,0.21342
P4_share_backbone,270,0.212707
P4_share_backbone,280,0.212463
P4_share_backbone,290,0.211751
P4_share_backbone,300,0.211194
P4_share_backbone,310,0.211035
P4_share_backbone,320,0.211028
P4_share_backbone,330,0.210828
P4_share_backbone,340,0.210855
P4_share_backbone,350,0.210894
